"pop","latitude","longitude"
"158",29.26359723,-114.0216665
"172",28.29038826,-113.1110026
"112",27.56491059,-113.0711841
"113",27.0995915,-112.4968451
"95",26.35797318,-111.8027891
"179",25.913455,-111.349716
"201",25.38127688,-111.3151591
"96",24.03565692,-110.1232369
"70",23.7377989,-109.8303991
